DEPTH,ALCDLC,ALDD,DGDD,DGRCC,R09PC,R15PC,R27PC,R39PC,ROPA,TNDD,TNPL,TNPS,ALCDLC_TR,ALDD_TR,DGDD_TR,DGRCC_TR,R09PC_TR,R15PC_TR,R27PC_TR,R39PC_TR,ROPA_TR,TNDD_TR,TNPL_TR,TNPS_TR,ALCDLC_TR_TR,ALDD_TR_TR,DGDD_TR_TR,DGRCC_TR_TR,R09PC_TR_TR,R15PC_TR_TR,R27PC_TR_TR,R39PC_TR_TR,ROPA_TR_TR,TNDD_TR_TR,TNPL_TR_TR,TNPS_TR_TR,MISSING_FLAG
1544.574,2.4373,152.7458,11.2591,79.7415,1.8955,2.0355,2.1883,1.2177,224.1601,4417326080.0,0.243756,0.285023,,,,,,,,,,,,,,,,,,,,,,,,,1
1544.7264,2.4032,141.5376,14.9761,83.9474,1.2769,1.8866,1.9978,0.9561,189.4272,4927933440.0,0.247867,0.291454,,,,,,,,,,,,,,,,,,,,,,,,,1
1544.8788,2.4083,130.3293,18.693,83.6964,1.3628,1.7377,1.8073,1.18,154.6943,5438540800.0,0.259479,0.297885,,,,,,,,,,,,,,,,,,,,,,,,,1
1545.0312,2.4394,120.201,22.267,83.3913,1.4898,1.6285,1.6568,1.4661,127.3453,5479910400.0,0.267258,0.301852,,,,,,,,,,,,,,,,,,,,,,,,,1
1545.1836,2.4969,114.2679,25.2859,80.2011,2.8305,1.6732,1.6615,1.8117,128.6801,3698471936.0,0.258187,0.296244,,,,,,,,,,,,,,,,,,,,,,,,,1
1545.336,2.5481,108.3347,28.3047,77.1814,4.4003,1.718,1.6662,2.2098,130.015,1917033600.0,0.248099,0.290635,,,,,,,,,,,,,,,,,,,,,,,,,1
1545.4884,2.5331,102.4015,31.3235,75.2535,2.5903,1.7628,1.6709,1.7877,131.3498,135595216.0,0.244133,0.285027,,,,,,,,,,,,,,,,,,,,,,,,,1
1545.6408,2.4708,110.0373,27.8477,72.1329,1.3748,1.7213,1.6802,1.3656,141.5076,159.611,0.24668,0.288655,,,,,,,,,,,,,,,,,,,,,,,,,1
1545.7932,2.428,118.791,23.8368,69.1176,1.6331,1.6726,1.6899,1.394,152.3923,145.776,0.253894,0.293044,,,,,,,,,,,,,,,,,,,,,,,,,1
1545.9456,2.4163,127.5447,19.8259,78.6451,1.5946,1.624,1.6996,1.3255,163.277,131.9409,0.258813,0.297433,,,,,,,,,,,,,,,,,,,,,,,,,1
