STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,SWARRAY_1,SWARRAY_2,SWARRAY_3,SWARRAY_4,SWARRAY_5,SWARRAY_6,SWARRAY_7,SWARRAY_8,SWARRAY_9,SWARRAY_10,SWARRAY_11,SWARRAY_12,SWARRAY_13,SWARRAY_14,SWARRAY_15,SWARRAY_16,SWARRAY_17,SWARRAY_18,SWARRAY_19,SWARRAY_20,SWARRAY_21,SWARRAY_22,SWARRAY_23,SWARRAY_24,SWARRAY_25,SWGRAD,CT,FTEMP,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,RW_TEMP,SW
ABAB,ABB-051,1376.3244,,-17.4997,72.275,1.328,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.753012048192771,143.81622,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1376.4768,,-18.0751,72.275,1.391,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7189072609633357,143.82384000000002,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1376.6292,,-18.6514,72.275,1.447,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.691085003455425,143.83146,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1376.7816,,-19.2268,72.275,1.504,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6648936170212766,143.83908000000002,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1376.934,,-19.8021,72.275,1.561,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6406149903907752,143.8467,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1377.0864,,-19.3084,72.275,1.617,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6184291898577613,143.85432,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1377.2388,,-18.8148,72.275,1.621,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6169031462060457,143.86194,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1377.3912,,-18.3211,72.275,1.625,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6153846153846154,143.86956,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1377.5436,,-17.8275,72.275,1.629,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6138735420503376,143.87718,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1377.696,,-17.8028,72.275,1.633,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.612369871402327,143.88479999999998,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1377.8484,,-17.7782,72.275,1.636,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6112469437652812,143.89242000000002,1,,,,,1.2951379310344828,1.0
