DEPTH,CALI,DT,GR_CAL,HDRA,PEFZ,RHOZ,RLA3,RLA5,RXOZ,SP,TENS,TNPH,CALI_TR,DT_TR,GR_CAL_TR,HDRA_TR,PEFZ_TR,RHOZ_TR,RLA3_TR,RLA5_TR,RXOZ_TR,SP_TR,TENS_TR,TNPH_TR,CALI_TR_TR,DT_TR_TR,GR_CAL_TR_TR,HDRA_TR_TR,PEFZ_TR_TR,RHOZ_TR_TR,RLA3_TR_TR,RLA5_TR_TR,RXOZ_TR_TR,SP_TR_TR,TENS_TR_TR,TNPH_TR_TR,GR_CAL_TR_SM,GR,NPHI,RHOB,RT,MISSING_FLAG
618.5916,427.8214,411.6429,88.5991,141.17,8.0164,2.1230801,1.7928,1.8072,0.2006,-467.4829,959.5746,0.54996,427.8214,411.6429,88.5991,141.17,8.0164,2123.0801,1.7928,1.8072,0.2006,-467.4829,959.5746,0.54996,427.8214,411.6429,88.5991,141.17,8.0164,2123.0801,1.7928,1.8072,0.2006,-467.4829,959.5746,0.54996,89.50376,88.5991,0.54996,2.1230801,1.8072,0.0
618.744,446.8386,427.5345,90.2053,130.73,7.9897,2.0819099000000003,1.7082,1.7344,0.174,-467.5,904.0096,0.54863,446.8386,427.5345,90.2053,130.73,7.9897,2081.9099,1.7082,1.7344,0.174,-467.5,904.0096,0.54863,446.8386,427.5345,90.2053,130.73,7.9897,2081.9099,1.7082,1.7344,0.174,-467.5,904.0096,0.54863,89.71684,90.2053,0.54863,2.0819099000000003,1.7344,0.0
618.8964,436.2112,444.4513,89.0577,116.55,7.9151,2.02777,1.7147,1.7536,0.1667,-467.5682,870.4438,0.50481,436.2112,444.4513,89.0577,116.55,7.9151,2027.77,1.7147,1.7536,0.1667,-467.5682,870.4438,0.50481,436.2112,444.4513,89.0577,116.55,7.9151,2027.77,1.7147,1.7536,0.1667,-467.5682,870.4438,0.50481,89.41198,89.0577,0.50481,2.02777,1.7536,0.0
619.0488,462.5,440.3823,90.3199,115.08,7.8006,2.0180398999999998,1.725,1.7569,0.1535,-467.7813,899.0201,0.41895,462.5,440.3823,90.3199,115.08,7.8006,2018.0399,1.725,1.7569,0.1535,-467.7813,899.0201,0.41895,462.5,440.3823,90.3199,115.08,7.8006,2018.0399,1.725,1.7569,0.1535,-467.7813,899.0201,0.41895,90.297,90.3199,0.41895,2.0180398999999998,1.7569,0.0
619.2012,426.1434,452.0767,88.8779,119.84,7.7054,2.0484399,1.5857,1.6143,0.1572,-467.7784,887.4534,0.42227,426.1434,452.0767,88.8779,119.84,7.7054,2048.4399,1.5857,1.6143,0.1572,-467.7784,887.4534,0.42227,426.1434,452.0767,88.8779,119.84,7.7054,2048.4399,1.5857,1.6143,0.1572,-467.7784,887.4534,0.42227,90.71984,88.8779,0.42227,2.0484399,1.6143,0.0
619.3536,428.101,456.434,93.0242,130.48,7.6633,2.1004199,1.7134,1.7204,0.1843,-467.7784,880.6497,0.4117,428.101,456.434,93.0242,130.48,7.6633,2100.4199,1.7134,1.7204,0.1843,-467.7784,880.6497,0.4117,428.101,456.434,93.0242,130.48,7.6633,2100.4199,1.7134,1.7204,0.1843,-467.7784,880.6497,0.4117,91.264,93.0242,0.4117,2.1004199,1.7204,0.0
619.506,423.3466,444.1309,92.3195,139.61,7.7178,2.1322898,1.6517,1.6913,0.2075,-467.8239,857.7433,0.41359,423.3466,444.1309,92.3195,139.61,7.7178,2132.2898,1.6517,1.6913,0.2075,-467.8239,857.7433,0.41359,423.3466,444.1309,92.3195,139.61,7.7178,2132.2898,1.6517,1.6913,0.2075,-467.8239,857.7433,0.41359,90.82482,92.3195,0.41359,2.1322898,1.6913,0.0
619.6584,421.3888,439.8376,91.7785,132.28,7.811,2.0964102,1.6382,1.7145,0.1962,-467.8875,863.6399,0.43041,421.3888,439.8376,91.7785,132.28,7.811,2096.4102,1.6382,1.7145,0.1962,-467.8875,863.6399,0.43041,421.3888,439.8376,91.7785,132.28,7.811,2096.4102,1.6382,1.7145,0.1962,-467.8875,863.6399,0.43041,90.95922,91.7785,0.43041,2.0964102,1.7145,0.0
619.8108,424.7449,430.0015,88.124,121.4,7.8216,2.0576201000000003,1.6288,1.7228,0.1536,-467.6136,883.8247,0.46314,424.7449,430.0015,88.124,121.4,7.8216,2057.6201,1.6288,1.7228,0.1536,-467.6136,883.8247,0.46314,424.7449,430.0015,88.124,121.4,7.8216,2057.6201,1.6288,1.7228,0.1536,-467.6136,883.8247,0.46314,90.07754,88.124,0.46314,2.0576201000000003,1.7228,0.0
619.9632,405.7277,430.9947,89.5499,125.11,7.7117,2.0792698,1.6057,1.7053,0.165,-467.375,877.2476,0.47347,405.7277,430.9947,89.5499,125.11,7.7117,2079.2698,1.6057,1.7053,0.165,-467.375,877.2476,0.47347,405.7277,430.9947,89.5499,125.11,7.7117,2079.2698,1.6057,1.7053,0.165,-467.375,877.2476,0.47347,89.59902,89.5499,0.47347,2.0792698,1.7053,0.0
