DEPTH,DT,GR_CAL,TENS
1527.6576,,,312.3667
1527.81,,,311.6576
1527.9624,,,311.8536
1528.1148,,,312.6696
1528.2672,,,314.8793
1528.4196,,,314.9897
1528.572,,,313.1865
1528.7244,,,312.6768
1528.8768,,,312.7409
1529.0292,,,312.3828
1529.1816,,,312.2777
1529.334,,,312.3044
1529.4864,,,310.478
1529.6388,,,309.9433
1529.7912,,,309.4034
1529.9436,,,311.7252
1530.096,,,311.7948
1530.2484,,,310.0325
1530.4008,,,306.9676
1530.5532,,,307.4131
1530.7056,,,308.2862
1530.858,,,309.5158
1531.0104,,,310.1679
1531.1628,,,310.5493
1531.3152,,,309.6975
1531.4676,,,305.8629
1531.62,,,304.8757
1531.7724,,,306.7716
1531.9248,,,310.4619
1532.0772,,,307.0745
1532.2296,,,304.5977
1532.382,,,302.3668
1532.5344,,,302.6803
1532.6868,,,303.974
1532.8392,,,307.757
1532.9916,,,309.8542
1533.144,,,306.9142
1533.2964,,,304.4053
1533.4488,,,301.9604
1533.6012,,,300.9947
1533.7536,,,302.2492
1533.906,,,303.8315
1534.0584,,,304.562
1534.2108,,,306.2477
1534.3632,,,306.4153
1534.5156,,,304.6992
1534.668,,,302.3668
1534.8204,,,301.907
1534.9728,,,299.701
1535.1252,435.4528,72.3498,300.4458
1535.2776,423.2634,65.6328,302.2295
1535.43,412.3427,58.979,304.8561
1535.5824,339.5325,53.7991,306.4153
1535.7348,328.2657,50.3248,304.17
1535.8872,300.4158,45.4818,302.4059
1536.0396,317.4486,46.6399,300.7007
1536.192,407.8414,61.232,300.9751
1536.3444,415.7799,81.8673,302.2883
1536.4968,419.4307,99.7021,305.1322
1536.6492,398.9124,105.4084,307.7199
1536.8016,320.7925,98.1229,305.7773
1536.954,307.6962,84.2256,303.0296
1537.1064,298.992,73.0657,302.6411
1537.2588,298.8377,69.5914,308.3646
1537.4112,290.563,68.4123,310.207
1537.5636,286.3506,65.9908,310.6776
1537.716,295.6528,66.8541,308.5892
1537.8684,350.4672,81.4672,308.5215
1538.0208,365.1471,94.2064,305.2285
1538.1732,389.3461,103.3027,304.2056
1538.3256,393.7463,100.2706,305.6009
1538.478,367.0347,103.7449,310.4031
1538.6304,370.1255,106.5244,311.85
1538.7828,370.1063,109.7881,304.8364
1538.9352,370.3223,111.1568,294.9932
1539.0876,368.9867,111.3884,296.8589
1539.24,373.7874,113.9362,302.0531
1539.3924,370.5368,108.8827,304.17
1539.5448,369.767,111.1989,304.2484
1539.6972,369.3221,105.8716,301.0339
1539.8496,369.7761,106.2927,301.3724
1540.002,368.9405,106.756,304.0523
1540.1544,368.8048,110.4619,306.2014
1540.3068,368.8064,108.3563,305.0324
1540.4592,368.7997,109.746,304.7188
1540.6116,368.8348,110.2092,303.19
1540.764,368.8049,116.105,303.288
1540.9164,367.7998,112.3991,302.9048
1541.0688,367.5954,106.8402,303.6015
1541.2212,367.2827,103.2606,306.0588
1541.3736,366.7943,101.6393,309.6778
1541.526,367.8603,106.7349,310.2267
1541.6784,366.8412,107.4719,306.1301
1541.8308,366.33,106.6297,303.7067
1541.9832,365.7733,107.5561,307.5414
1542.1356,365.6884,106.398,315.3817
1542.288,365.5201,107.4719,318.4966
1542.4404,365.3618,103.6186,316.4402
1542.5928,365.0702,106.8613,307.8354
1542.7452,364.7128,107.6825,311.1551
1542.8976,364.0935,108.7564,311.1871
1543.05,363.5139,104.4608,307.855
1543.2024,362.6481,105.261,306.0909
1543.3548,360.1706,104.8188,304.9344
1543.5072,358.9357,100.5443,304.4248
1543.6596,357.9779,101.2182,305.738
1543.812,357.2526,98.0597,306.4045
1543.9644,358.6179,101.9972,305.1696
1544.1168,359.1741,95.2592,301.907
1544.2692,359.7108,99.0493,300.0146
1544.4216,360.8206,98.3545,300.9947
