STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_RAW,GR_NORM,GR_RAW_NORM,VSH_DN
ABAB,ABB-096,1389.5832,,-11.7263,63.623,1.281,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1389.7356,,-11.4903,63.623,1.305,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1389.888,,-11.2543,63.623,1.329,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1390.0404,,-11.0183,63.623,1.353,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1390.1928,,-10.7814,63.623,1.378,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1390.3452,,-10.5454,63.623,1.402,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1390.4976,,-10.3324,63.623,1.426,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1390.65,,-10.1194,63.623,1.421,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1390.8024,,-9.9064,63.623,1.416,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1390.9548,,-10.3994,63.623,1.411,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1391.1072,,-10.8934,63.623,1.406,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1391.2596,,-11.3864,63.623,1.401,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1391.412,,-11.8795,63.623,1.396,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1391.5644,,-12.0955,63.623,1.389,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1391.7168,,-12.3125,63.623,1.382,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1391.8692,,-12.5285,63.623,1.375,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1392.0216,,-12.7445,63.623,1.367,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1392.174,,-12.9605,63.623,1.36,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1392.3264,,-13.1415,63.623,1.353,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1392.4788,,-13.3215,63.623,1.346,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1392.6312,,-13.5025,63.623,1.364,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1392.7836,,-13.6826,63.623,1.382,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1392.936,,-13.1346,63.623,1.399,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1393.0884,,-12.5866,63.623,1.417,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1393.2408,,-12.0386,63.623,1.434,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1393.3932,,-11.4906,63.623,1.452,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1393.5456,,-10.9426,63.623,1.469,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1393.698,,-10.4736,63.623,1.487,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1393.8504,,-10.0046,63.623,1.486,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1394.0028,,-9.5357,63.623,1.485,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1394.1552,,-9.8637,63.623,1.483,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1394.3076,,-10.1917,63.623,1.482,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1394.46,,-10.5197,63.623,1.481,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1394.6124,,-10.8477,63.623,1.48,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1394.7648,,-11.0577,63.623,1.479,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1394.9172,,-11.2667,63.623,1.478,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1395.0696,,-11.4757,63.623,1.484,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1395.222,,-11.6857,63.623,1.49,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1395.3744,,-11.5418,63.623,1.495,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1395.5268,,-11.3988,63.623,1.501,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1395.6792,,-11.2908,63.623,1.507,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1395.8316,,-11.1818,63.623,1.513,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1395.984,,-11.0728,63.623,1.528,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1396.1364,,-10.9648,63.623,1.543,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1396.2888,,-10.8558,63.623,1.557,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1396.4412,,-10.8418,63.623,1.572,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1396.5936,,-10.8279,63.623,1.587,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1396.746,,-11.2119,63.623,1.602,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1396.8984,,-11.5959,63.623,1.616,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1397.0508,,-11.9799,63.623,1.631,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1397.2032,,-12.3639,63.623,1.637,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1397.3556,,-13.0759,63.623,1.643,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1397.508,,-13.7879,63.623,1.65,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1397.6604,,-14.4999,63.623,1.656,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
