STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_SM
ABAB,ABB-064,1422.5016,,-22.817,45.06,1.506,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1422.654,,-22.989,45.06,1.489,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1422.8064,,-23.161,45.06,1.472,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1422.9588,,-23.333,45.06,1.455,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1423.1112,,-23.096,45.06,1.437,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1423.2636,,-22.858,45.06,1.417,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1423.416,,-22.621,45.06,1.397,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1423.5684,,-22.383,45.06,1.377,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1423.7208,,-22.146,45.06,1.357,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1423.8732,,-22.325,45.06,1.342,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1424.0256,,-22.505,45.06,1.327,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1424.178,,-22.185,45.06,1.312,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1424.3304,,-21.865,45.06,1.297,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1424.4828,,-21.545,45.06,1.282,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1424.6352,,-21.224,45.06,1.267,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1424.7876,,-20.904,45.06,1.293,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1424.94,,-19.943,45.06,1.319,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1425.0924,,-18.981,45.06,1.346,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1425.2448,,-18.364,45.06,1.372,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1425.3972,,-17.747,45.06,1.398,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1425.5496,,-17.129,45.06,1.424,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1425.702,,-16.512,45.06,1.44,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1425.8544,,-15.895,45.06,1.456,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1426.0068,,-15.277,45.06,1.47,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1426.1592,,-14.875,45.06,1.484,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1426.3116,,-14.941,45.06,1.497,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1426.464,,-15.006,45.06,1.511,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1426.6164,,-14.956,45.06,1.525,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1426.7688,,-14.906,45.06,1.538,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1426.9212,,-14.855,45.06,1.535,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1427.0736,,-16.535,45.06,1.532,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1427.226,,-17.182,45.06,1.529,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1427.3784,,-17.828,45.06,1.525,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1427.5308,,-16.97,45.06,1.522,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1427.6832,,-16.113,45.06,1.483,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1427.8356,,-15.255,45.06,1.444,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1427.988,,-12.882,45.06,1.405,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1428.1404,,-10.796,45.06,1.371,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1428.2928,,-8.71,45.06,1.337,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1428.4452,,-7.537,45.06,1.304,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1428.5976,,-6.364,45.06,1.27,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1428.75,,-5.191,45.06,1.236,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1428.9024,,-4.018,45.06,1.222,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1429.0548,,-2.845,45.06,1.208,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1429.2072,,-2.219,45.06,1.193,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1429.3596,,-1.593,45.06,1.167,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1429.512,,-1.488,45.06,1.141,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1429.6644,,-1.383,45.06,1.115,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1429.8168,,-1.278,45.06,1.089,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1429.9692,,-1.173,45.06,1.085,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1430.1216,,-1.068,45.06,1.081,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1430.274,,-1.036,45.06,1.077,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1430.4264,,-1.005,45.06,1.086,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1430.5788,,-0.973,45.06,1.095,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1430.7312,,-0.941,45.06,1.104,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1430.8836,,-1.051,45.06,1.128,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1431.036,,-1.161,45.06,1.153,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1431.1884,,-1.271,45.06,1.177,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1431.3408,,-1.381,45.06,1.202,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1431.4932,,-1.49,45.06,1.226,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1431.6456,,-2.247,45.06,1.322,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1431.798,,-3.004,45.06,1.418,0.1624,2.406,GUF,45.055256
ABAB,ABB-064,1431.9504,,-3.761,45.06,1.514,0.1624,2.406,GUF,45.033416
ABAB,ABB-064,1432.1028,,-7.594,45.03628,1.609,0.1624,2.406,GUF,44.974512
ABAB,ABB-064,1432.2552,,-12.401,44.9508,1.705,0.1624,2.406,GUF,44.925848
ABAB,ABB-064,1432.4076,,-15.493,44.76548,1.801,0.1624,2.406,GUF,45.042688
ABAB,ABB-064,1432.56,9.358,-16.28,44.816680000000005,2.02,0.1624,2.406,GUF,45.519984
ABAB,ABB-064,1432.7124,9.294,-17.067,45.6442,1.917,0.1624,2.374,GUF,46.587056000000004
ABAB,ABB-064,1432.8648,9.216,-17.855,47.42276,1.814,0.1662,2.387,GUF,48.492256000000005
ABAB,ABB-064,1433.0172,9.406,-17.21,50.28616,1.711,0.3605,2.414,GUF,51.273128
ABAB,ABB-064,1433.1696,9.622,-16.564,54.29148,1.607,0.3779,2.454,GUF,54.626520000000006
ABAB,ABB-064,1433.322,9.837,-15.919,58.72104,1.504,0.3745,2.473,GUF,58.146352
ABAB,ABB-064,1433.4744,10.069,-13.27,62.41116000000001,1.439,0.3671,2.462,GUF,61.394504000000005
ABAB,ABB-064,1433.6268,10.271,-10.621,65.02192,1.374,0.3609,2.45,GUF,63.934864000000005
ABAB,ABB-064,1433.7792,10.444,-7.459,66.52692,1.309,0.357,2.457,GUF,65.55984
ABAB,ABB-064,1433.9316,10.617,-6.558,66.99328,1.244,0.347,2.46,GUF,66.435896
ABAB,ABB-064,1434.084,10.633,-5.656,66.84592,1.179,0.3395,2.463,GUF,66.865816
ABAB,ABB-064,1434.2364,10.579,-4.754,66.79144,1.157,0.3403,2.458,GUF,67.124768
ABAB,ABB-064,1434.3888,10.526,-4.456,67.17152,1.135,0.3729,2.461,GUF,67.435888
ABAB,ABB-064,1434.5412,10.528,-4.158,67.82168,1.113,0.3754,2.464,GUF,67.914552
ABAB,ABB-064,1434.6936,10.53,-3.86,68.54888,1.09,0.3828,2.448,GUF,68.50420799999999
ABAB,ABB-064,1434.846,10.552,-3.562,69.23924000000001,1.068,0.3985,2.454,GUF,69.017904
ABAB,ABB-064,1434.9984,10.573,-3.264,69.73972,1.046,0.3929,2.46,GUF,69.30496000000001
ABAB,ABB-064,1435.1508,10.594,-3.174,69.74000000000001,1.024,0.3874,2.459,GUF,69.289088
ABAB,ABB-064,1435.3032,10.609,-3.085,69.25695999999999,0.996,0.3897,2.467,GUF,68.951728
ABAB,ABB-064,1435.4556,10.624,-2.995,68.46952,0.967,0.3882,2.475,GUF,68.34167199999999
ABAB,ABB-064,1435.608,10.639,-2.906,67.55243999999999,0.939,0.3799,2.473,GUF,67.61685599999998
ABAB,ABB-064,1435.7604,10.656,-2.817,66.68943999999999,0.911,0.3691,2.47,GUF,66.95317600000001
ABAB,ABB-064,1435.9128,10.672,-2.727,66.11591999999999,0.882,0.3688,2.467,GUF,66.47954399999999
ABAB,ABB-064,1436.0652,10.688,-2.638,65.93856000000001,0.854,0.3686,2.457,GUF,66.28263999999999
ABAB,ABB-064,1436.2176,10.682,-2.407,66.10136,0.842,0.3651,2.467,GUF,66.38262399999999
